,epoch,test_set,accuracy,loss
0,1,1,0.5079365032059806,0.7104406016213554
1,2,1,0.5297619104385376,0.6863875644547599
2,3,1,0.5218254008463451,0.691642450434821
3,4,1,0.5694444456270763,0.6824833495276315
4,5,1,0.5337301641702652,0.6845241231577737
5,6,1,0.5436507953064782,0.6815259541784014
6,7,1,0.555555556501661,0.6752900608948299
7,8,1,0.6210317526544843,0.6646004021167755
8,9,1,0.6190476247242519,0.6579879564898354
9,10,1,0.6587301535265786,0.6433000607149941
0,1,3,0.5433896593541078,0.694264331433128
1,2,3,0.557180443431421,0.6492600049048226
2,3,3,0.5741371602464338,0.6257983369788549
3,4,3,0.6617108152136164,0.6319471135827216
4,5,3,0.6507420938321902,0.6030357234377737
5,6,3,0.6351747128573167,0.5616228588684022
6,7,3,0.6928303946847554,0.5562844063335982
7,8,3,0.7577569173386646,0.5475000736331254
8,9,3,0.7771608197752077,0.5076827304839233
9,10,3,0.8156545591289466,0.4725925255465183
0,1,7,0.588624336889812,1.0390683710575104
1,2,7,0.832010588475636,0.448915605034147
2,3,7,0.9166666652475085,0.3339247575828007
3,4,7,0.9506172835826874,0.18254360343728745
4,5,7,1.0,0.0
5,6,7,1.0,0.0
6,7,7,1.0,0.0
7,8,7,1.0,0.0
8,9,7,1.0,0.0
9,10,7,1.0,0.0
0,1,8,0.6798941833632333,0.6183801357235227
1,2,8,0.878306874207088,0.35328039420502527
2,3,8,0.9550264648028782,0.15064775757491589
3,4,8,1.0,0.0
4,5,8,1.0,0.0
5,6,8,1.0,0.0
6,7,8,1.0,0.0
7,8,8,1.0,0.0
8,9,8,1.0,0.0
9,10,8,1.0,0.0
